Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-1.96,-2.96
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.000e-05,6.4725,2.51313
-0.000e+00,6.7425,2.51641
2.000e-05,7.04813,2.52008
4.000e-05,7.34094,2.52445
6.000e-05,7.60781,2.52445
8.000e-05,7.87438,2.52141
1.000e-04,8.11656,2.52789
1.200e-04,8.35625,2.52391
1.400e-04,8.58875,2.52766
1.600e-04,8.79437,2.52805
1.800e-04,8.96469,2.53602
2.000e-04,9.13031,2.53
2.200e-04,9.27719,2.53273
2.400e-04,9.44594,2.53477
2.600e-04,9.55656,2.53414
2.800e-04,9.65844,2.54008
3.000e-04,9.76156,2.54258
3.200e-04,9.81594,2.54281
3.400e-04,9.87094,2.54422
3.600e-04,9.90625,2.54602
3.800e-04,9.91219,2.54547
4.000e-04,9.89937,2.55094
4.200e-04,9.86156,2.54594
4.400e-04,9.80906,2.55172
4.600e-04,9.74375,2.55125
4.800e-04,9.65188,2.55055
5.000e-04,9.55625,2.54977
5.200e-04,9.42125,2.55242
5.400e-04,9.26375,2.55484
5.600e-04,9.10875,2.55172
5.800e-04,8.97781,2.55977
6.000e-04,8.77656,2.55859
6.200e-04,8.58656,2.56094
6.400e-04,8.35281,2.56203
6.600e-04,8.11531,2.55742
6.800e-04,7.85656,2.55531
7.000e-04,7.61281,2.56258
7.200e-04,7.33062,2.55687
7.400e-04,7.04,2.56023
7.600e-04,6.75062,2.56172
7.800e-04,6.47281,2.56047
8.000e-04,6.15969,2.56062
8.200e-04,5.86906,2.56266
8.400e-04,5.54469,2.56273
8.600e-04,5.22719,2.55945
8.800e-04,4.91563,2.55711
9.000e-04,4.59812,2.55539
9.200e-04,4.27438,2.55461
9.400e-04,3.99844,2.55531
9.600e-04,3.7425,2.55195
9.800e-04,3.45281,2.5457
1.000e-03,3.16312,2.54477
1.020e-03,2.85969,2.50734
1.040e-03,2.59469,2.32703
1.060e-03,2.32437,2.08539
1.080e-03,2.04812,1.84766
1.100e-03,1.79937,1.61195
1.120e-03,1.55781,1.40477
1.140e-03,1.34844,1.20992
1.160e-03,1.16594,1.01633
1.180e-03,0.962813,0.835547
1.200e-03,0.782188,0.675078
1.220e-03,0.611562,0.518828
1.240e-03,0.467187,0.385859
1.260e-03,0.34625,0.27875
1.280e-03,0.23125,0.186953
1.300e-03,0.133437,0.107734
1.320e-03,0.0865625,0.043125
1.340e-03,0.021875,-0.00585938
1.360e-03,-0.00875,-0.0282031
1.380e-03,-0.0025,-0.0375
1.400e-03,-0.0071875,-0.0246094
1.420e-03,0.035625,0.00359375
1.440e-03,0.0828125,0.0561719
1.460e-03,0.150313,0.121094
1.480e-03,0.237812,0.203359
1.500e-03,0.340937,0.295
